event_id,gate,category,sample,loss
642,2,1,534,1151009210.0
643,46,1,534,524354473.6
644,51,3,536,7896095436.0
645,21,3,536,6613654285.0
646,11,1,537,762040710.3
647,5,1,538,1020211018.0
648,50,1,539,795430630.9
649,49,1,539,963424671.9
650,62,2,541,2733219431.0
651,63,2,541,2733219431.0
652,51,3,542,7361423203.0
653,18,3,544,7188343121.0
654,63,2,545,2733219431.0
655,2,3,546,5749773962.0
656,24,1,547,785057726.5
657,12,3,548,8126555557.0
658,1,1,549,815891584.2
659,11,2,549,2544197467.0
660,1,1,550,764832004.7
661,1,1,550,755666128.2
662,49,1,551,674568281.1
663,63,2,552,2733219431.0
664,27,1,552,1247943521.0
665,1,1,553,788607956.2
666,12,1,555,626931845.2
667,1,1,555,849155908.9
668,27,1,556,1247943521.0
669,13,3,557,8938953132.0
670,14,1,562,602869547.1
671,18,3,563,7188343121.0
672,45,1,563,524354473.6
673,12,3,563,8126555557.0
674,39,2,564,2424371639.0
675,50,1,564,795430630.9
676,21,1,564,1205057041.0
677,2,1,565,785504453.3
678,50,1,565,795430630.9
679,25,1,565,785057726.5
680,14,3,566,8938953132.0
681,49,3,566,6613654285.0
682,18,3,567,7188343121.0
683,51,3,568,8754351753.0
684,21,4,568,14948036345.0
685,14,1,568,791974937.7
686,20,3,569,6613654285.0
687,25,1,569,785057726.5
688,45,1,570,1119276599.0
689,37,1,570,1361850958.0
690,63,2,570,2733219431.0
691,10,1,570,700066259.7
692,37,1,572,1361850958.0
693,22,1,572,947222683.7
694,18,3,573,7188343121.0
695,21,1,575,1624871268.0
696,12,1,579,690202610.2
697,14,1,580,847263736.1
698,11,2,580,2544197467.0
699,62,1,581,462562513.5
700,58,1,584,775055478.6
701,11,2,585,2544197467.0
702,51,3,586,4096170200.0
703,46,2,587,3450533798.0
704,12,1,587,505536606.8
705,53,2,587,4224952563.0
706,12,1,589,1194929120.0
707,46,1,589,524354473.6
708,52,1,591,1316785465.0
709,45,1,591,1119276599.0
710,37,1,592,1361850958.0
711,2,3,592,5749773962.0
712,62,1,593,462562513.5
713,27,1,594,1247943521.0
714,63,2,596,2733219431.0
715,45,1,596,1119276599.0
716,21,1,597,947222683.7
717,12,1,599,1289941312.0
718,21,1,599,947222683.7
719,20,4,600,26234121822.0
720,50,1,600,795430630.9
721,10,1,601,762040710.3
722,46,4,601,14948036345.0
723,11,1,601,1402414653.0
724,62,1,601,462562513.5
725,1,1,602,773026550.2
726,21,1,603,947222683.7
727,12,1,603,392651888.5
728,8,2,605,2424371639.0
729,61,2,607,3611421792.0
730,21,1,607,947222683.7
731,2,1,607,1182777346.0
732,46,4,607,14948036345.0
733,51,3,608,6236827141.0
734,61,2,608,3611421792.0
735,12,1,608,1017607393.0
736,49,1,609,1037640910.0
737,12,1,611,757942032.0
738,9,1,612,524354473.6
739,53,1,613,1316785465.0
740,15,1,614,1049179916.0
741,48,3,614,8097986358.0
742,9,3,614,5961674471.0
743,12,1,616,346318165.6
744,21,4,617,14948036345.0
745,37,1,617,1361850958.0
746,20,3,618,6613654285.0
747,63,2,618,2733219431.0
748,21,4,619,26234121822.0
749,12,1,621,3062385601.0
750,12,3,621,8126555557.0
751,12,1,623,975348089.1
752,25,1,623,785057726.5
753,61,2,623,3611421792.0
754,62,1,624,462562513.5
755,25,1,624,785057726.5
756,51,3,626,10489621165.0
757,52,1,626,1316785465.0
758,45,1,628,1119276599.0
759,52,1,629,549995600.3
760,49,1,629,1161945817.0
761,14,1,629,1289941312.0
762,50,3,630,8974991722.0
763,20,3,630,6613654285.0
764,12,1,632,1152739925.0
765,9,3,632,5961674471.0
766,25,1,636,785057726.5
767,21,1,636,1624871268.0
768,10,1,637,634276043.1
769,15,1,637,960374721.8
770,6,1,637,901765476.2
771,27,1,637,1247943521.0
772,12,1,638,582905238.1
773,39,2,638,2424371639.0
774,37,1,639,1361850958.0
775,20,3,639,6613654285.0
776,14,1,640,1289941312.0
777,1,1,642,956465885.4
778,53,2,642,4224952563.0
779,14,1,644,1001588164.0
780,12,1,645,1092663236.0
781,14,3,646,8938953132.0
782,45,1,648,1119276599.0
783,2,1,648,1016690197.0
784,8,2,649,2424371639.0
785,13,1,650,1289941312.0
786,52,1,650,610514746.2
787,37,1,651,1361850958.0
788,12,1,651,1036034427.0
789,12,1,653,944343522.9
790,14,3,653,5030803098.0
791,15,3,655,8938953132.0
792,37,1,657,1361850958.0
793,53,2,658,4224952563.0
794,52,1,659,713152959.5
795,21,1,661,1624871268.0
796,58,1,662,775055478.6
797,50,1,662,795430630.9
798,51,3,662,6619919143.0
799,6,1,664,901765476.2
800,62,1,664,462562513.5
801,21,4,665,14948036345.0
802,21,1,665,1624871268.0
803,40,4,666,14853619650.0
804,46,1,666,524354473.6
805,61,1,666,462562513.5
806,14,1,668,774212942.8
807,20,2,669,4661767010.0
808,48,1,670,664073416.8
809,6,1,672,901765476.2
810,1,1,673,706268281.6
811,12,1,673,962605472.5
812,51,3,673,13456464821.0
813,12,1,674,435551951.3
814,53,2,674,4224952563.0
815,45,1,676,1119276599.0
816,32,1,676,821323293.5
817,2,3,676,5749773962.0
818,52,1,677,741826267.9
819,46,1,678,524354473.6
820,52,1,679,527777294.0
821,49,3,680,6613654285.0
822,49,3,681,6613654285.0
823,49,1,681,686277373.8
824,11,2,683,2544197467.0
825,12,3,684,8126555557.0
826,12,1,685,664222112.6
827,15,3,686,8938953132.0
828,32,1,691,821323293.5
829,21,1,691,1624871268.0
830,27,1,692,1247943521.0
831,1,1,694,767141831.3
832,52,1,694,731039018.2
833,21,1,694,1624871268.0
834,14,3,695,8938953132.0
835,52,1,696,433881311.9
836,11,2,696,2544197467.0
837,9,1,697,524354473.6
838,14,1,698,724731942.0
839,9,1,699,524354473.6
840,52,1,702,702386014.6
841,8,2,702,2424371639.0
842,49,3,703,6613654285.0
843,50,1,704,795430630.9
844,12,1,706,302609712.2
845,20,3,707,6613654285.0
846,37,2,707,3450533798.0
847,36,1,708,1361850958.0
848,12,1,708,602526951.9
849,14,1,709,1289941312.0
850,12,1,711,823792209.4
851,51,3,712,10694175283.0
852,10,1,712,905688640.1
853,11,2,714,2544197467.0
854,12,1,714,764362565.7
855,49,1,717,931561597.3
856,12,1,717,775701599.0
857,50,1,717,795430630.9
858,37,2,717,3450533798.0
859,63,2,718,2733219431.0
860,46,1,718,524354473.6
861,48,3,718,8097986358.0
862,37,2,718,3450533798.0
863,21,4,718,14948036345.0
864,49,3,719,6613654285.0
865,9,1,722,524354473.6
866,27,1,723,1247943521.0
867,12,1,723,968946694.6
868,1,1,726,1213490259.0
869,40,4,726,14853619650.0
870,37,1,726,1361850958.0
871,10,1,726,814163690.0
872,63,2,727,2733219431.0
873,51,3,728,7378672485.0
874,32,1,730,821323293.5
875,12,1,732,1869341065.0
876,14,1,734,1231552708.0
877,21,1,737,947222683.7
878,11,2,738,2544197467.0
879,21,1,738,1624871268.0
880,39,2,739,2424371639.0
881,20,4,740,26234121822.0
882,63,2,741,2733219431.0
883,52,1,743,605946678.8
884,48,3,743,8097986358.0
885,10,1,745,1119642147.0
886,50,1,745,795430630.9
887,20,3,746,6613654285.0
888,13,1,746,591692860.0
889,46,4,746,14948036345.0
890,39,2,747,2424371639.0
891,12,1,749,835071594.8
892,27,1,749,1247943521.0
893,2,1,750,1306042224.0
894,46,2,751,3450533798.0
895,46,2,751,3450533798.0
896,52,2,753,4224952563.0
897,12,1,753,761098577.4
898,21,1,754,1624871268.0
899,52,2,754,4224952563.0
900,12,3,754,8126555557.0
901,12,1,755,802546982.8
902,27,1,757,1247943521.0
903,25,1,758,785057726.5
904,1,1,758,815668160.0
905,52,1,759,1316785465.0
906,46,2,759,3450533798.0
907,20,2,760,4661767010.0
908,11,1,761,1390388807.0
909,39,2,762,2424371639.0
910,8,2,764,2424371639.0
911,40,4,765,14853619650.0
912,46,2,766,3450533798.0
913,2,1,766,1073164690.0
914,1,3,766,5749773962.0
915,9,1,768,524354473.6
916,25,1,768,785057726.5
917,29,1,768,821323293.5
918,37,2,769,3450533798.0
919,12,1,770,781088610.8
920,48,3,770,6613654285.0
921,10,1,772,663100629.8
922,21,1,772,1624871268.0
923,48,3,772,6613654285.0
924,9,3,773,5961674471.0
925,37,1,774,1361850958.0
926,37,2,774,3450533798.0
927,14,3,774,8938953132.0
928,1,3,775,5749773962.0
929,12,1,775,1704337852.0
930,62,1,775,462562513.5
931,53,2,776,4224952563.0
932,12,1,776,821402934.1
933,9,1,778,524354473.6
934,53,2,778,4224952563.0
935,51,3,778,13622875424.0
936,2,1,779,1336127215.0
937,14,3,780,8938953132.0
938,1,1,780,819910681.5
939,21,1,781,1624871268.0
940,58,1,783,775055478.6
941,39,2,783,2424371639.0
942,12,1,784,1108103942.0
943,48,1,786,1037391828.0
944,27,1,787,1247943521.0
945,50,3,787,7110401131.0
946,62,2,788,2733219431.0
947,62,1,789,462562513.5
948,6,1,790,901765476.2
949,1,1,790,830601528.5
950,63,2,790,2733219431.0
951,14,1,791,1090743440.0
952,45,1,791,1119276599.0
